session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
56,201,1,10,200,68,4,10,10,18,9,31
57,24,10,484,33,33,180,40,4,1,18,31
58,9,1,86,241,406,81,693,205,570,110,31
59,110,51,51,81,51,81,81,81,81,1,31
60,1,18,9,8,124,62,82,779,628,112,31
61,25,112,25,119,119,33,33,1,1,482,31
62,1,27,259,128,151,1,514,557,285,249,31
63,669,285,249,285,54,54,139,139,1,33,31
64,33,115,10,10,606,40,1,1,1,81,31
65,241,1,9,67,18,1,1,106,1,717,31
66,33,667,33,1,113,1,9,1,18,62,31
67,27,82,86,27,37,354,916,1,96,846,31
68,266,897,266,25,205,30,30,1,18,9,31
69,67,758,25,598,25,1,67,124,80,8,31
70,1,57,200,5,183,5,5,5,6,4,31
71,5,4,6,5,841,5,382,910,382,200,31
72,200,101,5,183,5,6,5,4,6,5,31
73,4,7,17,17,7,4,6,4,7,7,31
74,72,17,6,84,7,17,7,7,2,4,31
75,44,6,17,72,84,45,44,324,2,2,31
76,7,324,48,7,45,6,7,2,7,324,31
77,6,48,2,101,200,200,101,5,6,4,31
78,4,6,5,5,5,6,5,4,52,36,31
79,5,6,4,36,52,66,36,52,111,36,31
80,111,52,5,5,5,43,5,68,10,4,31
81,4,10,18,9,1,4,1,917,855,18,31
82,9,1,4,82,62,883,25,850,25,119,31
83,33,33,1,1,68,10,4,10,4,9,31
84,18,1,4,1,96,8,62,102,1,1,31
85,8,124,254,86,80,710,1,823,51,688,31
86,92,92,51,25,25,180,113,54,113,54,31
87,108,108,101,5,6,4,5,296,4,296,31
88,296,4,6,68,10,5,10,4,117,117,31
89,728,404,155,117,41,46,23,41,23,46,31
90,10,24,64,544,46,70,23,194,92,23,31
91,64,41,41,46,25,6,64,23,40,70,31
92,23,46,390,23,41,346,23,70,41,346,31
93,525,390,23,64,70,64,247,41,46,4,31
94,70,41,23,6,6,247,23,41,70,6,31
95,136,136,70,70,70,64,70,64,64,41,31
96,136,64,70,136,70,64,64,64,70,64,31
97,70,64,64,70,64,64,70,64,70,64,31
98,136,64,70,64,70,64,64,23,64,6,31
99,1,4,1,1,18,9,67,254,27,8,31
100,27,802,128,37,1,730,32,941,108,32,31
101,108,57,57,69,5,6,4,66,52,111,31
102,5,36,36,66,36,36,36,6,4,5,31
103,5,5,521,5,5,4,68,10,4,10,31
104,10,10,18,9,1,4,1,9,18,1,31
105,62,82,1,566,25,687,733,25,108,331,31
106,5,6,4,5,6,4,11,11,21,6,31
107,11,19,8,79,8,4,11,4,6,565,31
108,11,11,4,11,11,11,11,17,11,17,31
109,11,11,11,11,11,11,11,11,11,11,31
110,11,11,17,11,11,11,11,11,11,11,31
111,11,11,11,11,11,23,46,41,11,11,31
112,11,11,11,11,11,11,11,11,11,11,31
113,11,11,11,11,11,11,11,11,11,11,31
114,11,11,11,11,11,11,11,11,11,11,31
115,11,11,11,11,11,11,11,11,11,11,31
116,11,11,11,11,11,11,11,11,11,11,31
117,11,11,11,11,11,194,11,11,11,11,31
118,11,11,11,11,11,11,11,11,11,11,31
119,11,11,11,11,11,5,6,4,20,6,31
120,43,20,5,4,46,23,41,4,6,43,31
121,20,46,41,23,20,88,47,47,88,3,31
122,168,131,217,824,217,281,20,88,47,56,31
123,217,328,168,47,88,611,3,236,3,3,31
124,3,3,3,47,3,3,3,3,3,3,31
125,3,375,47,131,56,131,3,3,3,47,31
126,281,375,56,3,3,204,191,185,473,3,31
127,3,281,3,3,3,88,47,291,88,47,31
128,121,79,21,19,121,8,121,8,541,121,31
129,255,255,47,3,291,47,3,3,3,3,31
130,3,3,3,3,3,3,3,3,3,3,31
131,3,3,3,3,3,3,3,20,3,3,31
132,3,3,3,3,3,3,3,3,3,3,31
133,3,3,3,3,3,3,3,3,3,3,31
134,3,3,3,3,20,211,24,6,6,31,31
135,8,197,211,19,21,79,24,6,211,159,31
136,673,8,31,211,79,6,49,6,8,211,31
137,22,22,17,22,22,17,5,6,4,5,31
138,420,420,6,4,20,5,49,20,20,79,31
139,187,234,216,602,187,31,234,216,234,187,31
140,6,17,8,21,234,332,187,19,8,332,31
141,6,22,23,41,187,332,187,20,20,43,31
142,4,20,281,20,23,20,232,95,190,95,31
143,79,19,21,877,6,6,95,362,6,96,31
144,102,124,8,365,8,374,37,342,268,373,31
145,37,86,17,268,37,17,857,37,95,22,31
146,22,57,22,43,4,23,20,20,391,127,31
147,924,118,118,149,273,118,19,21,80,31,31
148,118,469,273,8,345,118,22,6,5,4,31
149,5,58,6,177,58,6,19,476,21,177,31
150,58,177,177,58,177,449,142,398,407,58,31
151,297,864,142,177,8,177,142,62,58,58,31
152,58,58,40,58,58,58,40,58,53,19,31
153,58,8,53,21,58,58,58,58,58,58,31
154,58,58,58,58,58,58,58,5,5,148,31
155,148,24,4,148,8,31,148,53,906,24,31
156,148,53,6,228,53,53,178,228,53,53,31
157,22,22,17,17,148,53,53,178,228,262,31
158,53,20,5,5,834,8,126,21,19,351,31
159,27,31,6,8,5,216,773,904,27,351,31
160,447,347,447,347,8,6,8,471,17,17,31
161,126,23,46,41,22,22,178,5,53,148,31
162,8,148,53,6,22,148,423,53,14,38,31
163,39,228,63,38,74,53,73,8,178,14,31
164,39,31,6,24,39,63,53,14,22,93,31
165,14,17,6,39,22,73,38,8,39,74,31
166,63,38,588,6,93,38,38,73,8,14,31
167,38,67,74,14,22,869,63,74,6,38,31
168,743,14,8,38,38,63,14,93,39,38,31
169,6,21,22,19,22,8,355,355,197,53,31
170,14,8,38,22,38,74,63,19,6,262,31
171,228,21,53,178,425,8,6,53,425,178,31
172,53,22,74,8,22,63,19,6,93,21,31
173,8,22,5,14,20,178,14,5,4,20,31
174,4,20,199,389,337,371,759,895,144,19,31
175,159,55,21,199,144,34,49,337,159,8,31
176,6,17,24,55,34,271,144,31,22,607,31
177,144,5,55,52,36,111,5,66,36,66,31
178,52,36,36,36,4,43,23,20,20,49,31
179,20,5,4,5,165,130,171,130,171,411,31
180,334,165,34,725,79,130,152,165,280,227,31
181,24,5,57,57,130,280,130,165,165,171,31
182,165,171,171,34,165,171,334,334,34,411,31
183,4,43,20,23,5,4,5,233,545,4,31
184,208,233,241,233,711,241,81,81,81,81,31
185,539,5,233,510,655,4,81,81,81,81,31
186,81,81,81,233,81,81,5,6,4,5,31
187,28,130,6,4,34,244,130,28,866,270,31
188,280,270,856,956,28,378,28,34,270,28,31
189,179,28,244,24,378,280,130,28,31,8,31
190,244,28,19,21,6,49,6,120,31,17,31
191,22,28,17,671,28,28,271,34,270,279,31
192,22,28,179,31,279,8,120,49,21,19,31
193,6,20,28,22,28,34,322,34,322,179,31
194,322,31,21,8,6,19,49,120,8,28,31
195,22,615,28,34,179,28,31,49,19,21,31
196,6,120,8,22,28,451,34,451,28,31,31
197,19,6,8,21,28,341,28,341,34,28,31
198,22,179,341,31,6,8,49,21,19,31,31
199,28,34,28,22,386,179,121,386,19,6,31
200,8,21,49,28,298,298,34,28,22,298,31
201,8,21,19,49,8,6,426,507,569,426,31
202,24,492,679,926,244,807,645,22,5,83,31
203,5,94,137,67,21,19,8,125,106,83,31
204,106,94,19,106,21,83,94,137,67,440,31
205,94,83,94,94,83,94,83,19,94,21,31
206,67,137,293,55,83,83,55,19,137,21,31
207,94,208,94,94,83,208,94,19,137,21,31
208,83,83,137,21,94,208,19,208,83,83,31
209,5,21,94,5,19,137,83,83,83,137,31
210,19,94,21,83,28,302,28,357,179,34,31
211,28,302,435,171,302,121,19,6,8,21,31
212,49,120,22,28,28,317,34,317,317,21,31
213,49,6,120,19,8,4,43,20,23,22,31
214,83,83,137,21,19,94,83,28,380,28,31
215,34,55,380,120,8,49,21,6,19,22,31
216,55,28,279,28,34,279,120,49,8,79,31
217,21,6,19,28,301,28,301,34,55,301,31
218,8,49,21,6,19,28,55,22,300,28,31
219,121,34,357,435,300,28,300,121,120,49,31
220,6,19,8,21,28,34,22,28,438,414,31
221,121,414,438,6,19,8,49,120,21,22,31
222,8,28,28,340,340,271,34,28,942,28,31
223,340,6,19,21,49,120,8,28,22,28,31
224,739,28,34,271,21,8,6,19,28,537,31
225,22,20,117,117,604,562,508,117,404,155,31
226,117,97,97,97,326,326,663,101,97,97,31
227,97,394,97,97,162,97,97,97,97,97,31
228,394,97,162,771,97,466,162,162,117,69,31
229,320,69,69,68,10,4,10,4,24,814,31
230,1,4,1,18,9,27,957,128,151,1,31
231,1,86,96,1,124,67,80,86,398,1,31
232,861,749,123,89,89,123,25,61,85,57,31
233,57,69,101,154,154,154,68,10,154,24,31
234,10,4,10,4,10,18,9,122,10,40,31
235,815,1,4,1,1,1,18,9,27,69,31
236,154,154,10,18,9,40,122,122,913,182,31
237,182,1,1,1,67,90,102,82,80,57,31
238,92,929,769,57,361,92,1,18,1,361,31
239,9,62,8,417,911,760,417,210,25,210,31
240,25,51,207,51,246,246,236,33,458,458,31
241,1,1,18,9,67,1,254,1,86,106,31
242,534,106,8,124,96,646,498,1,9,18,31
243,1,1,67,1,695,32,579,123,32,54,31
244,30,166,1,1,1,1,870,139,643,25,31
245,139,25,92,92,1,18,1,9,849,775,31
246,90,123,90,99,936,99,1,1,1,1,31
247,1,1,18,9,1,657,523,123,210,210,31
248,25,99,25,99,110,110,1,18,1,9,31
249,811,680,1,1,18,9,925,845,10,1,31
250,9,18,122,40,9,18,10,122,40,879,31
251,107,107,1,1,10,1,10,122,40,599,31
252,32,32,519,4,10,68,24,4,10,122,31
253,122,10,40,10,826,314,90,314,90,1,31
254,4,1,1,1,27,135,259,141,86,27,31
255,124,227,86,128,489,470,61,85,61,330,31
256,61,215,572,207,207,166,166,99,99,69,31
257,154,5,4,6,5,103,24,103,327,103,31
258,103,6,5,4,5,5,5,240,348,5,31
259,550,885,240,348,216,216,912,240,323,31,31
260,410,250,79,736,31,6,250,323,21,19,31
261,410,356,250,323,496,250,356,22,17,8,31
262,6,22,240,17,5,5,416,416,276,276,31
263,276,276,854,820,5,5,5,5,52,36,31
264,111,66,36,52,36,1,10,10,1,1,31
265,1,1,67,1,62,102,8,650,699,5,31
266,52,36,36,66,36,52,96,5,5,5,31
267,103,103,103,5,5,436,238,24,689,238,31
268,214,214,453,82,125,488,80,214,125,432,31
269,214,8,289,289,214,125,80,289,453,125,31
270,432,82,8,198,238,5,436,238,880,4,31
271,4,8,5,5,103,5,103,103,5,103,31
272,103,5,103,103,5,5,828,5,1,10,31
273,10,1,1,1,67,106,80,57,57,1,31
274,10,9,18,10,122,40,472,1,1,67,31
275,82,1,10,18,9,106,122,40,938,154,31
276,17,7,785,4,7,17,7,6,4,4,31
277,7,4,72,84,6,17,84,7,72,6,31
278,44,4,2,2,44,6,6,7,7,45,31
279,7,7,2,6,48,7,2,2,6,45,31
280,6,48,5,5,6,2,5,5,5,52,31
281,36,36,5,66,66,52,2,2,7,7,31
282,2,7,7,2,7,7,2,7,7,7,31
283,2,7,2,7,7,2,7,10,10,7,31
284,1,1,18,9,578,152,478,675,7,2,31
285,7,42,42,381,68,10,4,10,10,4,31
286,24,18,9,10,10,629,119,54,54,40,31
287,1,1,4,1,1,1,124,548,1,1,31
288,18,9,27,141,135,734,504,110,249,33,31
289,54,33,27,69,1,18,9,62,86,227,31
290,928,166,32,894,32,402,108,402,108,90,31
291,333,333,1,10,10,10,10,40,638,25,31
292,25,30,30,40,1,1,902,652,89,89,31
293,107,107,1,1,96,1,613,825,195,195,31
294,85,61,30,61,30,1,8,915,722,331,31
295,331,32,182,18,1,9,642,163,163,321,31
296,556,51,51,99,1,1,9,18,1,1,31
297,536,934,1,1,9,18,8,82,649,597,31
298,400,202,105,112,105,10,1,809,10,932,31
299,166,265,40,40,1,517,1,830,1,872,31
300,790,51,51,25,30,30,32,33,205,25,31
301,33,89,89,101,5,6,4,7,4,7,31
302,7,17,5,6,72,5,5,84,4,17,31
303,72,7,44,6,2,4,84,6,2,7,31
304,45,6,7,2,45,17,7,24,68,18,31
305,4,10,9,6,6,2,7,1,4,1,31
306,4,1,27,37,135,141,1,873,119,119,31
307,37,1,1,4,1,369,80,1,632,777,31
308,25,69,33,25,33,221,57,1,1,57,31
309,1,7,2,6,6,7,7,2,7,44,31
310,7,7,44,338,338,186,44,44,44,338,31
311,186,7,7,7,7,7,7,7,69,5,31
312,6,4,935,5,5,468,4,6,5,4,31
313,10,68,10,4,24,10,10,634,40,4,31
314,1,9,16,1,18,27,128,62,799,205,31
315,1,4,1,86,96,369,944,844,25,107,31
316,33,25,1,195,195,5,5,52,111,66,31
317,5,36,5,66,111,36,901,5,5,10,31
318,4,10,798,40,9,1,16,1,589,714,31
319,90,90,33,343,343,54,54,156,1,810,31
320,520,115,108,163,108,25,163,25,1,1,31
321,5,36,52,5,52,66,5,1,5,66,31
322,36,52,5,52,66,69,5,4,6,7,31
323,5,17,5,6,5,72,84,5,4,2,31
324,17,4,72,7,6,44,84,2,44,2,31
325,7,45,17,45,7,2,6,10,68,4,31
326,10,76,24,4,18,16,7,9,9,4,31
327,1,1,18,9,16,27,101,62,135,141,31
328,129,884,27,551,215,260,1,518,223,25,31
329,30,69,5,2,5,5,5,294,4,786,31
330,294,954,4,294,4,82,8,37,370,17,31
331,17,370,2,5,2,2,2,2,7,4,31
332,44,7,45,5,4,44,45,7,2,2,31
333,6,7,6,7,2,2,7,7,7,7,31
334,2,7,7,7,7,2,7,7,2,10,31
335,18,16,9,1,16,9,18,1,102,8,31
336,522,560,115,51,115,51,107,107,99,99,31
337,7,1,1,1,9,16,18,1,793,123,31
338,2,132,132,99,99,7,7,7,7,2,31
339,1,16,1,9,18,86,316,1,8,1,31
340,30,930,583,32,32,30,1,152,80,647,31
341,227,194,922,92,113,113,30,30,1,92,31
342,265,57,265,157,157,7,1,96,713,9,31
343,16,18,1,605,462,538,123,32,85,61,31
344,51,18,1,9,16,1,503,1,62,1,31
345,1,465,1,623,660,7,221,221,25,163,31
346,163,57,51,51,10,1,30,1,8,738,31
347,424,705,939,30,30,275,719,1,1,18,31
348,16,9,502,955,207,1,18,9,16,735,31
349,205,157,694,157,400,275,205,32,113,113,31
350,32,157,157,7,1,581,686,7,7,71,31
351,60,77,12,87,12,393,393,184,659,184,31
352,617,59,184,184,184,184,59,29,15,460,31
353,91,60,29,15,29,15,15,15,29,15,31
354,29,15,29,15,12,87,5,145,78,12,31
355,6,4,5,188,172,392,175,320,169,188,31
356,172,175,188,169,5,6,4,7,17,5,31
357,6,72,5,5,5,84,4,84,6,7,31
358,17,72,2,7,4,44,2,7,45,7,31
359,17,45,2,7,6,69,42,42,42,42,31
360,176,176,310,71,77,77,396,78,5,145,31
361,12,87,12,5,183,12,59,59,5,5,31
362,29,15,15,6,4,5,91,60,4,77,31
363,77,5,257,459,257,257,903,463,459,257,31
364,4,5,4,4,5,52,36,5,52,36,31
365,66,111,66,235,5,235,235,235,5,8,31
366,368,229,138,225,8,138,225,21,225,229,31
367,31,34,79,130,8,19,12,138,229,193,31
368,208,8,146,22,36,52,52,66,5,49,31
369,827,682,49,31,19,8,159,31,79,49,31
370,21,6,71,4,159,12,4,24,6,17,31
371,49,80,49,49,49,49,49,31,5,455,31
372,455,5,15,29,15,277,15,29,15,5,31
373,12,87,12,12,12,12,5,72,84,17,31
374,4,44,6,2,45,2,2,15,29,2,31
375,2,2,15,29,15,2,12,87,7,6,31
376,2,2,29,15,2,6,2,2,29,15,31
377,6,2,7,42,42,42,42,59,77,71,31
378,68,10,4,10,76,4,24,76,9,16,31
379,18,251,60,24,272,8,10,590,150,1,31
380,4,1,40,18,16,1,96,1,272,62,31
381,86,9,77,8,653,612,30,30,33,85,31
382,61,1,1,135,151,27,327,958,1,78,31
383,80,141,173,194,152,82,511,1,1,561,31
384,594,180,180,1,1,1,55,16,9,18,31
385,129,1,703,858,139,439,439,33,33,367,31
386,33,367,55,1,82,102,272,718,724,132,31
387,132,51,51,51,113,92,25,25,29,15,31
388,15,15,91,60,29,15,15,12,5,87,31
389,12,670,6,2,4,5,59,29,15,15,31
390,15,29,15,15,29,15,29,15,87,12,31
391,12,12,12,12,4,44,17,45,6,75,31
392,2,48,6,2,6,2,29,15,2,2,31
393,2,7,307,7,17,72,7,84,17,72,31
394,84,7,44,7,4,7,44,75,7,4,31
395,7,75,2,6,7,75,2,7,6,45,31
396,7,7,48,17,2,2,45,69,48,7,31
397,6,75,75,48,287,287,434,287,494,434,31
398,892,218,218,218,218,218,213,7,213,379,31
399,261,261,372,213,261,401,401,2,6,644,31
400,261,379,213,213,372,751,363,363,403,403,31
401,6,7,2,48,75,7,2,304,48,48,31
402,7,2,75,48,2,2,48,320,175,175,31
403,172,188,169,172,392,188,175,172,155,175,31
404,188,8,8,169,172,175,2,5,5,4,31
405,2,2,2,4,46,5,5,23,46,114,31
406,46,46,114,41,6,114,46,46,101,41,31
407,6,41,6,2,4,41,23,23,114,41,31
408,114,114,41,41,41,41,41,41,48,48,31
409,7,46,12,4,23,46,6,12,41,41,31
410,46,46,41,37,37,37,37,2,6,2,31
411,2,2,2,7,2,2,5,2,7,5,31
412,2,5,278,36,278,36,36,36,111,66,31
413,66,36,278,36,278,2,2,7,2,2,31
414,7,2,6,48,7,2,8,172,169,8,31
415,155,5,4,6,2,2,7,6,2,5,31
416,4,7,5,44,7,17,44,7,45,7,31
417,2,17,2,45,7,6,6,7,42,42,31
418,75,48,7,42,42,7,75,7,2,75,31
419,7,59,6,75,48,48,45,48,2,7,31
420,42,42,42,42,59,71,77,78,145,12,31
421,87,12,29,15,15,12,12,5,540,146,31
422,155,413,60,155,150,155,444,155,413,91,31
423,444,68,24,4,76,10,16,10,4,18,31
424,9,76,10,60,622,867,150,40,1,4,31
425,1,1,1,16,9,27,173,78,151,37,31
426,1,886,762,215,51,260,248,51,683,248,31
427,263,499,248,890,51,263,263,263,506,248,31
428,207,595,353,838,207,676,99,4,2,6,31
429,5,99,78,167,91,12,12,60,4,44,31
430,17,45,6,2,2,29,15,15,2,2,31
431,2,29,15,15,2,1,150,10,1,1,31
432,145,78,1,9,16,742,648,33,32,61,31
433,85,54,6,12,87,5,31,303,312,533,31
434,303,31,312,6,303,376,467,146,19,8,31
435,21,8,312,327,376,22,79,7,2,6,31
436,17,5,153,6,12,153,8,153,8,672,31
437,153,757,419,419,86,153,656,619,37,421,31
438,37,421,37,153,153,153,24,443,666,385,31
439,5,274,220,284,698,385,306,220,443,794,31
440,274,706,274,4,8,220,274,12,220,306,31
441,423,14,63,14,39,38,73,98,39,14,31
442,73,8,31,39,98,311,14,63,147,74,31
443,24,93,39,98,8,38,133,37,13,14,31
444,39,14,73,79,38,8,306,74,14,311,31
445,14,93,19,21,63,93,38,147,14,31,31
446,8,37,803,37,133,128,98,5,24,112,31
447,112,112,22,156,14,156,13,31,14,13,31
448,17,6,14,13,14,13,13,14,13,220,31
449,22,2,1,9,16,1,744,61,54,621,31
450,85,180,32,132,32,92,1,27,9,16,31
451,908,27,905,586,33,33,255,167,78,1,31
452,1,16,9,1,1,9,16,851,51,564,31
453,1,9,16,1,1,1,9,1,16,358,31
454,1,474,788,54,223,90,89,223,5,15,31
455,29,15,15,5,24,189,174,192,174,164,31
456,164,192,174,164,192,446,164,189,174,164,31
457,189,1,2,5,1,1,16,9,745,532,31
458,25,85,61,25,157,92,89,92,12,17,31
459,7,72,2,1,16,9,1,772,563,119,31
460,119,7,42,42,42,71,42,12,87,12,31
461,12,12,326,59,72,84,44,4,17,45,31
462,15,29,75,6,59,48,277,2,145,78,31
463,2,2,6,2,15,29,2,2,7,2,31
464,29,15,15,2,7,42,42,71,77,42,31
465,42,145,12,87,78,12,29,15,15,15,31
466,12,12,12,12,59,12,59,5,4,44,31
467,17,45,2,6,91,60,24,174,189,192,31
468,164,192,446,189,164,192,174,12,4,189,31
469,174,17,2,2,2,75,48,6,2,2,31
470,4,2,4,43,2,5,2,19,40,2,31
471,40,8,6,162,7,2,2,5,2,2,31
472,2,2,2,2,2,6,2,7,397,397,31
473,5,258,17,72,44,45,574,4,12,2,31
474,59,186,46,787,41,23,70,114,6,2,31
475,2,2,19,8,8,8,19,8,8,8,31
476,2,17,19,19,8,19,8,19,424,19,31
477,8,19,8,6,2,5,4,17,2,2,31
478,7,2,2,2,2,2,2,2,2,2,31
479,2,2,2,2,7,2,2,2,2,2,31
480,2,2,2,5,2,7,2,59,59,43,31
481,448,2,6,4,5,59,2,2,4,44,31
482,2,17,45,6,48,6,2,2,2,2,31
483,2,6,2,7,2,2,2,2,2,2,31
484,6,7,2,8,19,31,49,4,448,5,31
485,6,2,5,6,17,405,282,186,4,2,31
486,2,2,42,42,42,42,59,59,71,77,31
487,12,87,12,12,12,4,44,17,2,45,31
488,15,29,75,6,48,91,60,2,2,2,31
489,15,29,15,2,2,2,29,15,7,2,31
490,2,2,2,15,29,15,2,2,2,7,31
491,29,15,2,7,10,68,10,4,76,24,31
492,4,10,18,16,9,10,101,76,76,10,31
493,10,40,737,32,32,33,33,105,105,1,31
494,4,1,1,1,27,18,9,16,27,37,31
495,135,821,141,268,373,268,875,37,57,51,31
496,51,691,30,202,202,51,51,1,9,16,31
497,1,18,27,842,82,37,129,57,37,952,31
498,333,25,25,25,920,156,156,201,132,132,31
499,1,1,16,9,18,1,1,639,30,304,31
500,69,5,5,6,4,69,6,4,5,336,31
501,336,336,40,42,42,42,42,71,77,77,31
502,12,87,396,68,10,24,4,76,18,10,31
503,4,9,16,76,60,96,62,60,631,266,31
504,30,167,78,150,381,12,40,145,78,12,31
505,4,1,77,1,1,1,16,9,1,12,31
506,129,173,8,792,829,92,32,57,222,15,31
507,29,15,460,59,91,60,29,15,15,59,31
508,15,29,29,15,15,68,10,4,76,9,31
509,16,18,24,76,101,10,80,8,53,10,31
510,573,54,40,4,1,27,9,16,1,206,31
511,27,128,797,1,16,9,8,222,9,1,31
512,16,529,677,1,69,16,10,9,8,692,31
513,923,40,1,9,16,1,593,919,5,115,31
514,6,105,30,115,105,30,4,1,16,9,31
515,1,20,5,6,871,4,948,23,46,43,31
516,33,25,32,33,25,20,4,6,23,46,31
517,43,445,454,364,384,134,134,335,191,204,31
518,431,335,204,232,134,399,299,24,197,203,31
519,191,185,366,203,1,863,702,16,9,203,31
520,1,1,9,1,16,527,552,139,139,54,31
521,54,85,61,61,134,1,9,16,1,102,31
522,62,9,1,16,881,497,30,30,123,1,31
523,299,408,1,408,134,134,134,71,77,145,31
524,12,78,87,29,15,15,24,68,10,4,31
525,76,18,4,10,16,9,76,10,62,102,31
526,60,8,53,10,60,893,90,89,30,30,31
527,5,12,12,12,40,77,150,10,9,8,31
528,16,62,10,10,8,741,89,89,110,110,31
529,25,167,78,33,40,4,1,1,1,1,31
530,1,1,9,16,1,8,721,690,194,25,31
531,25,139,107,61,85,61,112,112,1,1,31
532,9,16,128,62,37,27,173,78,37,712,31
533,614,182,182,156,110,110,377,51,377,85,31
534,61,222,1,170,170,457,395,31,170,170,31
535,31,170,159,79,353,395,159,170,21,5,31
536,49,19,146,12,49,286,170,457,146,609,31
537,8,20,43,23,4,46,2,22,91,6,31
538,17,60,20,2,36,52,5,111,36,52,31
539,66,52,36,66,52,4,2,5,29,15,31
540,5,591,267,5,267,267,267,4,2,5,31
541,27,26,837,35,26,209,26,315,35,224,31
542,143,100,888,269,71,35,60,71,35,26,31
543,485,100,109,65,109,143,315,35,26,109,31
544,65,35,26,109,35,65,26,796,237,100,31
545,100,109,35,35,100,12,60,65,100,26,31
546,100,35,100,26,100,8,8,26,100,160,31
547,160,26,315,304,100,100,29,15,15,65,31
548,181,252,746,530,776,35,487,668,720,697,31
549,412,780,429,35,252,305,840,100,704,770,31
550,433,501,731,35,252,774,461,701,422,160,31
551,899,947,116,442,674,641,626,620,860,907,31
552,50,805,305,640,433,812,817,949,461,422,31
553,35,71,767,252,429,708,412,891,78,167,31
554,71,60,442,305,547,35,500,526,862,5,31
555,35,633,87,12,637,480,847,12,12,12,31
556,12,524,654,5,4,44,45,17,6,2,31
557,2,29,15,15,15,15,15,2,5,5,31
558,778,801,161,231,121,243,19,747,21,79,31
559,231,219,161,243,610,219,161,816,161,53,31
560,219,24,185,359,231,243,245,161,53,219,31
561,284,245,185,239,232,53,262,193,71,53,31
562,158,5,158,161,243,959,293,387,151,129,31
563,887,245,158,239,161,231,219,21,359,19,31
564,53,231,161,245,262,53,1,10,150,1,31
565,1,16,9,18,80,82,86,18,9,16,31
566,1,582,577,33,321,32,33,125,321,4,31
567,32,202,180,32,549,180,167,43,2,106,31
568,5,1,1,1,27,16,9,18,206,37,31
569,1,584,30,30,25,580,139,105,105,1,31
570,1,16,9,18,1,1,1,1,18,9,31
571,16,254,55,553,546,195,246,388,54,119,31
572,156,246,54,55,49,7,40,8,222,69,31
573,57,5,6,4,20,6,5,4,20,43,31
574,23,46,4,6,20,23,43,46,5,5,31
575,43,5,43,43,5,43,5,5,5,162,31
576,162,162,5,5,43,114,247,6,247,6,31
577,6,114,136,136,20,136,136,5,20,23,31
578,4,43,20,20,4,17,72,84,4,6,31
579,2,5,84,17,72,46,23,114,2,5,31
